# Hexadecapole moment of PT power spectra at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P_vv (Mpc/h)^3         3:P_vd (Mpc/h)^3         4:P_dd (Mpc/h)^3         5:P_CTR (Mpc/h)^3        6:Ib2 (Mpc/h)^3          7:IbG2 (Mpc/h)^3         8:Ib1b2 (Mpc/h)^3        9:Ib1bG2 (Mpc/h)^3      10:Ib2b2 (Mpc/h)^3       11:Ib2bG2 (Mpc/h)^3      12:IbG2bG2 (Mpc/h)^3     13:Ptree_vv (Mpc/h)^3 
       5.508592871017e-03      -3.414752466645e+00      -1.882008551292e+00       2.320102587593e-02      -3.703719021501e-02       3.144432205212e-02      -5.753703987068e-02       4.200248758377e-05       4.050752238460e-04      -6.319159828949e-08      -9.319337513504e-07       1.261554791077e-06       1.220553148779e+03 
       5.633887095065e-03      -3.621500927575e+00      -1.995894175828e+00       2.528675338728e-02      -3.932274931583e-02       3.413984734839e-02      -6.255314966164e-02       4.509716801892e-05       4.360539086435e-04      -6.319159828949e-08      -1.007649810562e-06       1.337270850288e-06       1.238875273046e+03 
       5.759362656773e-03      -3.835387731194e+00      -2.113694784599e+00       2.750780997608e-02      -4.169114437004e-02       3.699815192467e-02      -6.787860566726e-02       4.833246399261e-05       4.685099105361e-04      -7.400817817688e-08      -1.083935163452e-06       1.424372783066e-06       1.256882920231e+03 
       5.885009128951e-03      -4.056418489601e+00      -2.235410474386e+00       2.986945022297e-02      -4.414274320897e-02       4.002434860750e-02      -7.352374341428e-02       5.169869751230e-05       5.024859265497e-04      -7.400817817688e-08      -1.171037096230e-06       1.500658135956e-06       1.274573744453e+03 
       6.010816893888e-03      -4.284594493384e+00      -2.361038866679e+00       3.237692984719e-02      -4.667786907764e-02       4.322344433477e-02      -7.949882555984e-02       5.519529928432e-05       5.379711401045e-04      -8.482475806427e-08      -1.268386315216e-06       1.587190775055e-06       1.291945030445e+03 
       6.136777070431e-03      -4.519922615057e+00      -2.490580612751e+00       3.503556889815e-02      -4.929690643220e-02       4.660073695345e-02      -8.581434077066e-02       5.881088343510e-05       5.750093868137e-04      -8.482475806427e-08      -1.355488247993e-06       1.674292707832e-06       1.308997860718e+03 
       6.262881448544e-03      -4.762415914785e+00      -2.624039696519e+00       3.785072215221e-02      -5.200030709939e-02       5.016177593833e-02      -9.248096273392e-02       6.255740513188e-05       6.136000973835e-04      -9.564133795166e-08      -1.464223340546e-06       1.771641926819e-06       1.325737382910e+03 
       6.389122430502e-03      -5.012087768123e+00      -2.761420288058e+00       4.082777341967e-02      -5.478852773312e-02       5.391209880900e-02      -9.950937595337e-02       6.643372578732e-05       6.537546576875e-04      -9.564133795166e-08      -1.561572559532e-06       1.858743859596e-06       1.342169273655e+03 
       6.515492978000e-03      -5.268956666300e+00      -2.902729357232e+00       4.397214294565e-02      -5.766208147873e-02       5.785698291788e-02      -1.069099728851e-01       7.041878153530e-05       6.954941315919e-04      -1.064579178391e-07      -1.681124231972e-06       1.956662372261e-06       1.358300653106e+03 
       6.641986564499e-03      -5.533043834861e+00      -3.047975416689e+00       4.728929082581e-02      -6.062151306296e-02       6.200153141348e-02      -1.146930241564e-01       7.453420553561e-05       7.388190883904e-04      -1.172744977264e-07      -1.789859324524e-06       2.054011591248e-06       1.374139548186e+03 
