# Matter power spectrum P(k) at redshift z=0
# for k=1.02819e-05 to 105.289 h/Mpc,
# number of wavenumbers equal to 624
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       7.141228560996e-01       1.760086300624e+02 
       7.172771500086e-01       1.743177176726e+02 
       7.204314439720e-01       1.726481389514e+02 
       7.235857379890e-01       1.710006734089e+02 
       7.267400320589e-01       1.693753324890e+02 
       7.298943261811e-01       1.677733126731e+02 
       7.330486203549e-01       1.661928177465e+02 
       7.362029145795e-01       1.646326981844e+02 
       7.393572088545e-01       1.630919048021e+02 
       7.425115031791e-01       1.615702518702e+02 
       8.119898945646e-01       1.325835083292e+02 
       9.129110473709e-01       1.020398722868e+02 
       1.073768456362e+00       7.063923928286e+01 
       1.327035764737e+00       4.335920190820e+01 
       1.668742058265e+00       2.532902115577e+01 
       2.100791290670e+00       1.462515009410e+01 
       2.644739447303e+00       8.375864738969e+00 
       3.329529697746e+00       4.761448665237e+00 
       4.191629545816e+00       2.688811870934e+00 
       5.276948952055e+00       1.508985074690e+00 
