# PT power spectra for matter and bias tracers P(k), P_CTR(k) (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2(k), Id2(k), IG2(k), Id2G2(k), IG2G2(k), IFG2(k) at redshift z=1
# for k=1.02819e-05 to 109.889 h/Mpc,
# number of wavenumbers equal to 588
#    1:k (h/Mpc)           2:P_lin + P_1loop (Mpc/h)^3     3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3     
       5.779680784837e-03       6.622812112049e+03      -2.248657375536e-01      -1.742637531710e+00      -1.694166126927e-01      -1.149265421580e-01      -9.021383911111e+00       7.002472087467e-01      -1.446512605210e+01 
       5.902526045239e-03       6.718019577846e+03      -2.378858140128e-01      -1.808727466092e+00      -1.706634033343e-01      -1.244752491371e-01      -9.395118149006e+00       7.520798361901e-01      -1.528474514521e+01 
       6.025524381540e-03       6.811707241168e+03      -2.513485339568e-01      -1.876216204119e+00      -1.714947961844e-01      -1.345879570240e-01      -9.776128031763e+00       8.064476300277e-01      -1.613068022450e+01 
       6.148667599099e-03       6.903880075774e+03      -2.652563696999e-01      -1.945100710428e+00      -1.718882230951e-01      -1.452834735436e-01      -1.016435934894e+01       8.634035171579e-01      -1.700297447523e+01 
       6.271948108978e-03       6.994518538833e+03      -2.796103489262e-01      -2.015378756816e+00      -1.718210397532e-01      -1.565807931971e-01      -1.055976144303e+01       9.229986275090e-01      -1.790157683462e+01 
       6.395358876124e-03       7.083590263482e+03      -2.944109057418e-01      -2.087044820242e+00      -1.712702603096e-01      -1.684986955020e-01      -1.096226629205e+01       9.852824272330e-01      -1.882639781981e+01 
       6.518893372638e-03       7.171081753640e+03      -3.096590797485e-01      -2.160095495252e+00      -1.702131432418e-01      -1.810561022803e-01      -1.137181667765e+01       1.050304562661e+00      -1.977738612547e+01 
       6.642545535578e-03       7.257023852614e+03      -3.253573315012e-01      -2.234527272499e+00      -1.686272320386e-01      -1.942717936100e-01      -1.178835407867e+01       1.118111632698e+00      -2.075457968755e+01 
       6.766309728813e-03       7.341458486879e+03      -3.415084315747e-01      -2.310336257264e+00      -1.664901006218e-01      -2.081644978950e-01      -1.221181769303e+01       1.188749233787e+00      -2.175803567142e+01 
       6.890180708501e-03       7.424431543260e+03      -3.581152808081e-01      -2.387519681366e+00      -1.637793883297e-01      -2.227530659766e-01      -1.264215260212e+01       1.262263473160e+00      -2.278781929611e+01 
       7.014153591796e-03       7.505962391957e+03      -3.751792838915e-01      -2.466073157834e+00      -1.604726783231e-01      -2.380561459664e-01      -1.307929490131e+01       1.338697669470e+00      -2.384389990729e+01 
