# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
# -> for galaxy lensing (lens[i]), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi                   9:dens[1]-dens[1]       10:phi-dens[1]           11:lens[1]-lens[1]       12:dens[1]-lens[1]    
   83       2.818316343717e-10       6.573576328902e-14      -1.585089203540e-12       0.000000000000e+00       1.642620756935e-11       2.093595029938e-12      -9.006189669183e-15       5.626657529829e-04       6.875513029438e-08       8.105938600736e-13       1.678904294372e-08 
   84       2.853409247334e-10       6.769084877057e-14      -1.659839222703e-12       0.000000000000e+00       1.594379667660e-11       2.042199450407e-12      -8.913634093217e-15       5.697420911281e-04       6.801648421650e-08       7.808091563144e-13       1.657880608359e-08 
   85       2.888795788535e-10       6.965601696105e-14      -1.735640090127e-12       0.000000000000e+00       1.547866043543e-11       1.992548948613e-12      -8.823240492021e-15       5.767970888363e-04       6.728921367811e-08       7.523406133641e-13       1.637273390439e-08 
   86       2.924482189594e-10       7.162974400715e-14      -1.812443805363e-12       0.000000000000e+00       1.503077346722e-11       1.944636106827e-12      -8.734119303120e-15       5.838321276711e-04       6.657404365069e-08       7.251737560730e-13       1.617096578908e-08 
   87       2.960472656141e-10       7.361046553040e-14      -1.890200682004e-12       0.000000000000e+00       1.459990886196e-11       1.898431258483e-12      -8.645251891091e-15       5.908486043162e-04       6.587143315514e-08       6.992797158229e-13       1.597356117713e-08 
   88       2.996769269779e-10       7.559657671015e-14      -1.968859353233e-12       0.000000000000e+00       1.418562982172e-11       1.853881566082e-12      -8.555486163070e-15       5.978479250701e-04       6.518156263252e-08       6.746146550246e-13       1.578049591702e-08 
   89       3.033371880702e-10       7.758643236652e-14      -2.048366777367e-12       0.000000000000e+00       1.378728130421e-11       1.810910099105e-12      -8.463532184253e-15       6.048315003409e-04       6.450432131490e-08       6.511191916143e-13       1.559165861879e-08 
   90       3.070278000313e-10       7.957834704340e-14      -2.128668243402e-12       0.000000000000e+00       1.340398166629e-11       1.769414911915e-12      -8.367957793405e-15       6.118007391413e-04       6.383929459606e-08       6.287178235514e-13       1.540684700649e-08 
   91       3.107482693836e-10       8.157059509137e-14      -2.209707376556e-12       0.000000000000e+00       1.303461430748e-11       1.729268121667e-12      -8.267184218360e-15       6.187570435837e-04       6.318575140228e-08       6.073183533149e-13       1.522576427072e-08 
   92       3.144978472938e-10       8.356141075069e-14      -2.291426143817e-12       0.000000000000e+00       1.267781931349e-11       1.690314986211e-12      -8.159481691531e-15       6.257018033747e-04       6.254263156312e-08       5.868113124013e-13       1.504801542110e-08 
