# Matter power spectrum P(k) at redshift z=0.61
# for k=1.04735e-05 to 109.569 h/Mpc,
# number of wavenumbers equal to 586
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.912102795809e-01       2.856768224598e+02 
       3.944373509029e-01       2.810341569375e+02 
       3.976644225689e-01       2.764097952994e+02 
       4.008914945707e-01       2.718071791765e+02 
       4.041185669001e-01       2.672379588724e+02 
       4.073456395494e-01       2.627202761486e+02 
       4.105727125109e-01       2.582753287957e+02 
       4.137997857774e-01       2.539213890757e+02 
       4.170268593418e-01       2.496842360154e+02 
       4.202539331971e-01       2.455752220271e+02 
       4.234810073366e-01       2.416027365723e+02 
       4.267080817540e-01       2.377525105514e+02 
       4.299351564429e-01       2.340342478078e+02 
       4.331622313972e-01       2.304386850349e+02 
       4.363893066110e-01       2.269588343660e+02 
       4.396163820786e-01       2.235923642501e+02 
       4.428434577944e-01       2.203174325550e+02 
       4.460705337531e-01       2.171285089466e+02 
       4.492976099492e-01       2.140076319762e+02 
       4.525246863779e-01       2.109377145391e+02 
       4.557517630340e-01       2.079124843576e+02 
       4.589788399129e-01       2.049241218486e+02 
       4.622059170097e-01       2.019690759665e+02 
       4.654329943200e-01       1.990477537602e+02 
       4.686600718394e-01       1.961623798284e+02 
       4.718871495634e-01       1.933155758770e+02 
       4.751142274880e-01       1.905138160722e+02 
       4.783413056091e-01       1.877509888751e+02 
       4.815683839227e-01       1.850358651555e+02 
       4.847954624249e-01       1.823834074245e+02 
       4.880225411120e-01       1.797862002807e+02 
       4.912496199804e-01       1.772495006177e+02 
       4.944766990264e-01       1.747850383799e+02 
       4.977037782467e-01       1.723880068138e+02 
       5.009308576378e-01       1.700570301756e+02 
       5.041579371964e-01       1.677739464475e+02 
       5.073850169194e-01       1.655508448034e+02 
       5.106120968035e-01       1.633691915948e+02 
       5.138391768459e-01       1.612289866114e+02 
       5.170662570434e-01       1.591291878715e+02 
       5.202933373932e-01       1.570601159156e+02 
       5.235204178925e-01       1.550296771879e+02 
       5.267474985386e-01       1.530262017652e+02 
       5.299745793286e-01       1.510489521297e+02 
       5.332016602601e-01       1.490968110222e+02 
       5.364287413304e-01       1.471711824741e+02 
       5.396558225370e-01       1.452742686102e+02 
       5.428829038776e-01       1.434078641016e+02 
       5.461099853497e-01       1.415759390171e+02 
       5.493370669509e-01       1.397821835135e+02 
       5.525641486792e-01       1.380189927072e+02 
       5.557912305321e-01       1.362849234080e+02 
       5.590183125076e-01       1.345908306220e+02 
       5.622453946035e-01       1.329248315273e+02 
       5.654724768178e-01       1.312922321065e+02 
       5.686995591484e-01       1.296917882160e+02 
       5.719266415934e-01       1.281231173353e+02 
       5.751537241508e-01       1.265843916633e+02 
       5.783808068188e-01       1.250696134385e+02 
       5.816078895955e-01       1.235832346969e+02 
       5.848349724791e-01       1.221233444616e+02 
       5.880620554678e-01       1.206821685545e+02 
       5.912891385599e-01       1.192596160262e+02 
       5.945162217538e-01       1.178628115846e+02 
       5.977433050477e-01       1.164877747970e+02 
       6.009703884401e-01       1.151338405621e+02 
       6.041974719294e-01       1.137997832054e+02 
       6.074245555139e-01       1.124846767985e+02 
       6.106516391923e-01       1.111913705611e+02 
       6.138787229631e-01       1.099142208717e+02 
       6.171058068246e-01       1.086572947438e+02 
       6.203328907757e-01       1.074187032239e+02 
       6.235599748148e-01       1.062045988568e+02 
       6.267870589406e-01       1.050116443217e+02 
       6.300141431517e-01       1.038385998828e+02 
       6.662947331891e-01       9.184979044649e+01 
       7.097375301825e-01       7.987485922845e+01 
       7.641805761087e-01       6.775068203027e+01 
       8.370107199388e-01       5.521151277082e+01 
       9.435785033119e-01       4.204572515061e+01 
       1.114247901652e+00       2.866289908193e+01 
       1.380604337913e+00       1.734422373335e+01 
       1.736571666787e+00       1.003575653035e+01 
       2.186192605794e+00       5.743526149723e+00 
       2.752253368724e+00       3.260403851511e+00 
       3.464881705562e+00       1.837417878435e+00 
       4.362027627992e+00       1.028543908215e+00 
       5.491467427828e+00       5.722895885826e-01 
       6.913347892933e+00       3.166578763000e-01 
       8.703389342986e+00       1.743224504336e-01 
       1.095691801262e+01       9.551708969941e-02 
       1.379394252104e+01       5.210954058193e-02 
       1.736554476856e+01       2.831325720233e-02 
       2.186192559879e+01       1.532501395787e-02 
       2.752253368707e+01       8.264447006208e-03 
       3.464881705562e+01       4.440980732542e-03 
       4.362027627992e+01       2.377762019385e-03 
       5.491467427828e+01       1.268182793655e-03 
       6.913347892933e+01       6.735511469758e-04 
       8.703389342986e+01       3.559047238046e-04 
       1.095691801262e+02       1.868523392056e-04 
